751,IPFF,Analytics Moderate Fund of Funds A,20100630,0,8.05,41.54,0.00,8.33,6.9,12.01,8.95,0,0,4.78
118,CMBF,Anglorand Growth Fund ,20100630,10.63,11.26,12.88,0.00,0,0,40.41,0,0,0,24.81
1409,MTFF,Ankh Foreign Flexible Fund of Funds A,20100630,0,0,0,0.00,0,0,0.3,60.06,0,0,39.62
2217,MAPR,Ankh Prudential Fund ,20100630,4.21,21.36,9.23,0.00,0,4.12,65.2,0,0,0,19.39
2217,MAPA,Ankh Prudential Fund A,20100630,4.21,21.36,9.23,0.00,0,4.12,65.2,0,0,0,19.39
1593,ANFF,Ankh Stable Fund A,20100630,0,19.55,7.95,0.00,0,8.75,85.24,0,0,0,3.79
1732,ACCA,APS Cautious Fund of Funds A,20100630,3.22,2.31,9,0.03,4.6,5.73,48.03,4.94,0,0,2.66
1733,AMGA,APS Managed Growth Fund of Funds A,20100630,12.93,9.28,35.16,0.11,12.02,0.67,9.96,7.43,0,0,3.05
1734,AMCA,APS Moderate Fund of Funds A,20100630,9.3,6.67,25.33,0.08,9.22,1.82,20.97,9.5,0,0,2.43
1762,MASA,AS Forum Aggressive Fund of Funds ,20100630,17.61,12.68,31.95,0.07,8.45,5.06,8.04,14.29,0.41,0,0.73
1761,MAFC,AS Forum Cautious Fund of Funds ,20100630,7.11,5.96,12.74,0.03,8.26,20.92,32.5,8.56,2.12,0,1.92
1763,MASM,AS Forum Moderate Fund of Funds ,20100630,13.87,10.15,25.27,0.06,10.68,13.25,11.53,12.77,0.15,0,1.79
2200,ACPF,Atlantic Cash Plus Fund ,20100630,0,0,0,0.00,0,0,100,0,0,0,0
2019,AEIF,Atlantic Enhanced Income Fund A,20100630,0,0,1.1,0.00,4.5,25.74,69.74,0,0,0,0
2201,ARIF,Atlantic Real Income Fund ,20100630,5.99,1.95,5.13,0.00,6.06,37.3,43.77,0,0,0,0
1531,MADE,Avocado Defensive Fund of Funds A,20100630,3.38,10.58,3.04,0.00,25.53,0,55.59,2.38,0,0,0.05
1530,MADY,Avocado Dynamic Fund of Funds A,20100630,2.92,13.29,11.78,0.02,1.42,0,70.55,0,0,0,0
1717,AYEFA3,Aylett Equity Fund A3,20100630,0,0,93.76,0.00,0,0,5.02,1.21,0,0,0
1715,MBMF,Baroque Moderato Fund of Funds ,20100630,15.71,6.87,23.82,0.01,6.21,11.29,35.57,0.21,0.1,0,0.11
2006,MBAB,Bastion Absolute Return Fund of Funds ,20100630,19.51,12.04,23.12,0.00,2.16,13.09,27.1,5.61,0.6,0,0.78
